Case #1: 1
1 1 3
Case #73: 1
1 1 1
Case #74: 4
1 1 1
1 2 1
1 1 2
1 2 2
Case #75: 4
1 1 1
1 2 1
1 1 2
1 2 2
Case #76: 2
1 1 1
1 1 2
Case #77: 1
1 1 1
Case #78: 9
1 1 1
1 2 1
1 3 1
1 1 2
1 2 2
1 3 2
1 1 3
1 2 3
1 3 3
Case #79: 8
1 1 1
2 1 1
1 2 1
2 2 1
1 1 2
2 1 2
1 2 2
2 2 2
Case #80: 2
1 1 1
1 1 2
Case #81: 4
1 1 1
1 2 1
1 1 2
1 2 2
Case #82: 1
1 1 1
Case #83: 2
1 1 1
1 1 2
Case #84: 12
1 1 1
2 1 1
1 2 1
2 2 1
1 1 2
2 1 2
1 2 2
2 2 2
1 1 3
2 1 3
1 2 3
2 2 3
Case #85: 2
1 1 1
1 1 2
Case #86: 4
1 1 1
1 2 1
1 1 2
1 2 2
Case #87: 1
1 1 1
Case #88: 8
1 1 1
2 1 1
1 2 1
2 2 1
1 1 2
2 1 2
1 2 2
2 2 2
Case #89: 2
1 1 1
1 1 2
Case #90: 6
1 1 1
1 2 1
1 1 2
1 2 2
1 1 3
1 2 3
Case #91: 1
1 1 1
Case #92: 18
1 1 1
2 1 1
1 2 1
2 2 1
1 3 1
2 3 1
1 1 2
2 1 2
1 2 2
2 2 2
1 3 2
2 3 2
1 1 3
2 1 3
1 2 3
2 2 3
1 3 3
2 3 3
Case #93: 1
1 1 1
Case #94: 3
1 1 1
1 1 2
1 1 3
Case #95: 8
1 1 1
2 1 1
1 2 1
2 2 1
1 1 2
2 1 2
1 2 2
2 2 2
Case #96: 4
1 1 1
1 2 1
1 1 2
1 2 2
Case #97: 27
1 1 1
2 1 1
3 1 1
1 2 1
2 2 1
3 2 1
1 3 1
2 3 1
3 3 1
1 1 2
2 1 2
3 1 2
1 2 2
2 2 2
3 2 2
1 3 2
2 3 2
3 3 2
1 1 3
2 1 3
3 1 3
1 2 3
2 2 3
3 2 3
1 3 3
2 3 3
3 3 3
Case #98: 8
1 1 1
2 1 1
1 2 1
2 2 1
1 1 2
2 1 2
1 2 2
2 2 2
Case #99: 4
1 1 1
2 2 1
2 1 2
1 2 2
Case #100: 2
1 1 1
1 1 2
